Event_ID,Year,Month,Day,Latitude,Longitude,Elevation_m,Lake_Area_km2,Lake_Volume_MCM,Dam_Height_m,Dam_Width_m,Lake_Type,Temperature_Anomaly_C,Precipitation_mm,PDD_Total,Seismic_Activity_Count,Max_Earthquake_Magnitude,Distance_to_Fault_km,Glacier_Area_km2,Glacier_Retreat_Rate_m_per_year,Ice_Velocity_m_per_year,Slope_Degree,Relief_m,Drainage_Basin_Area_km2,Previous_GLOF_Events,Years_Since_Last_GLOF,GLOF_Risk_Level,GLOF_Occurred,Lake_Volume_per_Area,Dam_Aspect_Ratio,Glacier_to_Lake_Ratio,Elevation_Band
1,2018,9,7,32.236796510953056,84.86827011477673,3000.0,0.09315191979044803,4.963821405939077,79.12465057706642,331.6316454316205,Moraine-dammed,1.058392589866378,1043.7778111572793,1654.342777991643,7,3.4797622493135485,16.87517302558867,14.05912453102554,2.9962403192551537,49.09622048069414,11.985135458549884,406.24966189908014,1260.075001172443,1,7.657760177156022,0,0,53.287376332184586,0.2385919789834448,150.92683610442552,Very_Low
2,2004,8,9,23.930363096737178,83.09471632336323,3503.6866929970743,1.4353210936169911,1.2070647140156012,48.92300577506119,158.5006694883322,Moraine-dammed,1.7340766607723108,468.10250612985084,1912.614052487058,7,3.94158927560709,0.7891721225563821,11.81600902288358,12.072261156162535,69.96469440060756,6.351570360168308,1043.9199661223033,140.48622485188352,0,10.724673414002252,1,0,0.8409719047421043,0.3086611932491717,8.232310578748192,Very_Low
3,1997,2,17,39.719384465543015,67.41806992724028,4545.163067195808,1.1769762782653441,0.46076187178128675,34.99078450502445,389.1786787682879,Moraine-dammed,1.5584994243769457,855.3938475509606,1464.0439502799609,7,8.5,31.813674437967276,9.770397753681214,35.261276579911524,52.89398073897018,5.0,1131.3645717412073,514.5944478820503,0,4.8789654218217455,1,0,0.39147931890383436,0.08990930493871563,8.30126990161693,Medium
4,2010,9,11,21.88544376274413,91.38450935164565,4902.556371002534,0.88861926103212,1.1618378503485463,56.175025619837385,215.60462279037452,Moraine-dammed,2.4151313294746632,397.6045429817598,707.7264471598426,2,6.1949490169566594,1.3297244835587905,11.729753712058333,23.316637797236492,45.43425493437085,5.783020818792416,683.9120191403194,517.522236031903,0,0.5455870460152715,1,0,1.3074641765012907,0.26054648037140915,13.199976892729484,High
5,2008,7,7,33.97851570849871,86.72184092240157,3863.909150739186,0.22178957400518015,0.54410941581689,88.41909334160499,310.74445072435515,Bedrock-dammed,1.2010587287313943,788.9311720721859,1439.352751032047,6,3.3002508306778005,57.355244235550664,6.96605549247978,35.32225249584203,96.10005246572956,14.580907259464393,1851.3744981117038,97.48241367509895,0,4.957939139089804,0,0,2.4532686816206324,0.2845395730655762,31.408399261892626,Low
6,2012,9,24,33.093319687403245,84.32085262437467,3653.7741132631445,0.7190231022618442,4.27742768697138,47.58607503185949,156.7919712792106,Ice-dammed,1.7265709636844075,879.6268043743933,1105.7876668556503,7,4.927101666545813,4.851036630987704,6.598866782148817,13.119323727047272,26.273522027329545,5.0,1754.6132589758063,136.63777291600346,1,11.431688053817533,1,0,5.948943328129231,0.3034981615679771,9.177544868016954,Low
7,2000,6,28,27.6149881004352,83.09182594545655,5175.768599912155,0.2425633539548159,22.58166456147964,10.0,95.09197983934553,Supraglacial,1.9371694013256142,880.2014840259351,683.6560669612629,8,7.1427811696633245,14.365449616788837,11.03403760300785,7.912700402332043,99.87554192949872,15.533384208299921,1042.2640126478484,138.4771621423764,1,1.6551870176400063,1,0,93.09594459881231,0.10516133975646148,45.489301756040376,High
8,2000,6,14,33.33225158356694,84.6312043865621,4836.8741647988545,0.9700910998350127,6.904617344195697,63.00153153051959,50.0,Moraine-dammed,1.178432904222432,824.2418416121718,1557.8231070306028,7,3.013247244221727,1.3139954752130705,1.3411921849503987,19.62008888386582,68.61602268887273,19.637780754469013,1927.9269290045686,59.239436132687835,0,25.16800456565577,1,0,7.11749375431853,1.2600306306103919,1.382542510882226,High
9,2013,11,19,28.41213400588131,82.63763868502083,4886.894718460812,1.3357724339181603,126.08232186460914,56.92860121853674,302.12830704640254,Moraine-dammed,0.6746454323204885,728.2954250786238,1680.829137989466,3,4.914523197135228,45.063022468106794,6.901551791381801,4.544251125680638,94.98827563941427,12.14768896826582,1529.807921279464,59.903277402768836,0,16.063743420714836,2,1,94.3890730659695,0.18842524811749378,5.1667122453918255,High
10,2013,4,4,26.62269277572111,79.71966161436696,3825.548798007404,0.29036400907930515,0.1945100465968941,51.80244710991452,205.44111279808328,Bedrock-dammed,0.8373938807478953,480.7717545718699,1162.4401785699183,4,3.9224289496783116,78.18080373397157,4.935297413848136,1.219028698807524,21.712418535027563,5.0,1765.1119785504002,434.76275769732524,3,11.398785538085054,0,0,0.6698834583998629,0.2521522902810027,16.996932331583118,Low
11,1992,10,26,32.34779584676464,87.39588880724169,5090.955390146943,1.5506326061313018,0.9362199169048647,45.61645482678065,100.19396395826335,Moraine-dammed,1.9091900365285783,484.23446319593796,1328.1904609041867,2,4.710259003669335,3.1633330580878347,4.361735418118287,6.337981702664258,39.434088098468884,10.525877126970418,1887.0545062817228,42.64250473127046,0,14.625782193856,1,0,0.6037664326178815,0.45528146631450345,2.812874823392532,High
12,2011,10,6,24.96719504456049,89.84159118932953,3000.0,0.5608539303909362,0.48607584482179717,33.85455650230436,305.4562440868684,Moraine-dammed,1.2646838867227375,889.6486404235588,370.93241987439956,5,4.395543689696091,7.013475241932216,7.296247404918685,5.333776587999617,6.162499230483988,23.545410375658058,1682.4950691208799,83.59102784069034,0,21.330995496715325,0,0,0.866671014470709,0.11083275316079803,13.009175846967725,Very_Low
13,1991,2,10,28.87872420621215,77.2943208561382,5104.98407332721,0.8176883803171798,12.644213151141617,80.29948447867714,292.47952134086614,Bedrock-dammed,1.2514105414143566,421.5773488989263,1649.5092433394414,5,8.5,0.32003539888871896,2.617584346015129,16.883845687358818,59.00585716317513,15.134149709039857,1089.6955328715912,67.57020433373923,0,105.17618675198997,0,0,15.46336410728614,0.2745473738145695,3.201200370488049,High
14,2013,7,7,27.029116256350214,80.99264430812609,4146.774277246488,0.1349595001757119,1.43666096260072,13.233813305819048,310.5908672296428,Moraine-dammed,2.1041475670157332,352.78777170528656,1517.3045358911854,3,3.5112348861234786,30.926022337047655,7.331169746091203,12.023106983317588,59.627974554888155,6.331548287354792,2024.6525566383787,173.7303901668506,0,29.843772609884567,0,0,10.645126580420383,0.04260850753230394,54.321257388670766,Low
